,Unnamed: 0,차종,엔진형식,과급방식,연료,배기량,최고출력,최대토크,연비_x,CO₂ 배출량,전장/전폭,전고/축거,윤거전/후,공차중량,전륜타이어,후륜타이어,구동방식,변속기,전륜서스펜션,후륜서스펜션,전륜제동장치,후륜제동장치,스티어링,출력,토크,주행거리,용량,타입,최고속도,가속성능,풀네임,주행,가격,거주성,품질,디자인,연비_y,종합점수,연도,차이름,브랜드,배기량_num,차급
68,71,2016 렉서스 RC F 스포츠,l4 듀얼VVTi,싱글터보,가솔린,"1,998cc",245hp,35.7kg.m,,175g/km,"4,695mm / 1,840mm","1,395mm / 2,730mm","1,590mm / 1,575mm","1,710kg",235mm / 40 / 19inch,265mm / 35 / 19inch,앞엔진 후륜 구동,자동8단,더블 위시본,멀티 링크,V디스크,V디스크,랙 앤 피니언,,,,,,,,2016 렉서스 RC F 스포츠,9.7,6.8,8.3,10.0,9.7,4.5,8.2,2016,렉서스 RC F 스포츠,렉서스,1.0,경차
69,73,2021 메르세데스-벤츠 CLA,I4,싱글터보,가솔린,"1,991cc",224hp,35.7kg.m,,150g/km,"4,695mm / 1,830mm","1,435mm / 2,730mm","1,603mm / 1,597mm","1,550kg",225mm / 45 / 18inch,225mm / 45 / 18inch,상시사륜 구동,DCT7단,맥퍼슨 스트럿,멀티 링크,V디스크,디스크,랙 앤 피니언,,,,,,250km/h,6.3초,2021 메르세데스-벤츠 CLA,9.6,7.7,8.0,8.7,9.9,8.1,8.7,2021,메르세데스-벤츠 CLA,메르세데스-벤츠,1.0,경차
71,77,2018 렉서스 GS F,V8,자연흡기,가솔린,"4,969cc",473hp,53.7kg.m,,233g/km,"4,915mm / 1,845mm","1,440mm / 2,850mm","1,555mm / 1,560mm","1,855kg",255mm / 35 / 19inch,275mm / 35 / 19inch,앞엔진 후륜 구동,자동8단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,,2018 렉서스 GS F,9.6,9.5,8.5,10.0,9.5,7.9,9.2,2018,렉서스 GS F,렉서스,4.0,경차
72,78,2016 니로 하이브리드,l4 GDi,,가솔린,"1,580cc",105hp 합산 141hp,15kg.m 합산 26.9kg.m,,79g/km,"4,355mm / 1,805mm","1,545mm / 2,700mm","1,565mm / 1,579mm","1,425kg",205mm / 60 / 16inch,205mm / 60 / 16inch,앞엔진 전륜 구동,DCT6단,맥퍼슨 스트럿,멀티링크,디스크,디스크,랙 앤 피니언,,,,,,,,2016 기아 니로 하이브리드,8.8,8.8,8.5,8.7,7.1,9.7,8.6,2016,기아 니로 하이브리드,기아,1.0,경차
74,80,2024 렉서스 LS,V6,트윈터보,가솔린,"3,445cc",422hp,61.2kg.m,,220g/km,"5,235mm / 1,900mm","1,460mm / 3,125mm","1,635mm / 1,635mm","2,240~2,315kg",245mm / 45~50 / 19~20inch,245mm / 45~50 / 19~20inch,상시사륜 구동,자동10단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,,2024 렉서스 LS,9.3,8.2,9.2,9.5,9.5,7.5,8.9,2024,렉서스 LS,렉서스,3.0,경차
77,83,2018 엑센트,l4,자연흡기,가솔린,"1,368cc",100hp,13.6kg.m,,115~122g/km,"4,370mm / 1,705mm","1,455mm / 2,570mm","1,488~1,496mm / 1,493~1,501mm","1,070~1,105kg",175~195mm / 50~70 / 14~16inch,175~195mm / 50~70 / 14~16inch,앞엔진 전륜 구동,"수동6단, CVT",맥퍼슨 스트럿,토션빔,디스크,디스크,랙 앤 피니언,,,,,,,,2018 현대 엑센트,8.7,9.0,8.0,8.2,8.2,8.8,8.5,2018,현대 엑센트,현대,1.0,경차
78,84,2024 코나 하이브리드,I4,자연흡기,가솔린,"1,580cc",105hp 합산 141hp,14.7kg.m,,79~87g/km,"4,350mm / 1,825mm","1,580~1,585mm / 2,660mm","1,591mm / 1,600mm","1,435~1,450kg",215mm / 55~60 / 17~18inch,215mm / 55~60 / 17~18inch,앞엔진 전륜 구동,DCT6단,맥퍼슨 스트럿,멀티링크,디스크,디스크,랙 앤 피니언,,,,,,,,2024 현대 코나 하이브리드,9.4,6.7,9.0,9.1,9.5,9.4,8.9,2024,현대 코나 하이브리드,현대,1.0,경차
79,85,2023 SM6,I4,싱글터보,가솔린,"1,332cc",156hp,26.5kg.m,,121~123g/km,"4,855mm / 1,870mm","1,460mm / 2,810mm","1,615mm / 1,610mm","1,420~1,450kg",225~245mm / 45~55 / 17~18inch,225~245mm / 45~55 / 17~18inch,앞엔진 전륜 구동,DCT7단,맥퍼슨 스트럿,토션빔,V디스크,디스크,랙 앤 피니언,,,,,,,,2023 르노코리아 SM6,9.3,8.4,8.9,8.8,9.6,8.4,8.9,2023,르노코리아 SM6,르노코리아,1.0,경차
80,86,2019 테슬라 모델 3,,,전기,,,,,,"4,694mm / 1,849mm","1,443mm / 2,875mm","1,580mm / 1,580mm","1,645kg",235mm / 45 / 18inch,235mm / 45 / 18inch,뒤엔진 후륜 구동,자동1단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,175kW234.7hp (단순환산치),375Nm38.2kg.m (단순환산치),352km,50kWh,리튬 이온,225km/h,5.6초,2019 테슬라 모델 3,9.9,8.8,8.7,7.9,9.4,9.3,9.0,2019,테슬라 모델 3,테슬라,,대형/프리미엄
81,87,2015 아반떼,I4 직분사,,가솔린,"1,591cc",140hp,17kg.m,,122~123g/km,"4,550mm / 1,775mm","1,435mm / 2,700mm","1,563mm / 1,576mm","1,210~1,245kg",195~215mm / 45~65 / 15~17inch,195~215mm / 45~65 / 15~17inch,앞엔진 전륜 구동,"수동6단, 토크컨버터6단",맥퍼슨 스트럿,토션빔 액슬,V디스크,디스크,랙 앤 피니언,,,,,,,,2015 현대 아반떼,8.5,8.8,8.3,8.3,8.4,8.1,8.4,2015,현대 아반떼,현대,1.0,경차
85,92,2014 싼타페,I4 직분사 디젤,싱글터보,디젤,"1,995cc",184hp,41kg.m,,137g/km,"4,690mm / 1,880mm","1,680mm / 2,700mm","1,628mm / 1,639mm","1,792kg",235mm / 55~60 / 18~19inch,235mm / 55~60 / 18~19inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티 링크,디스크,디스크,랙 앤드 피니언,,,,,,,,2014 현대 싼타페,8.9,8.4,8.8,8.5,9.0,7.9,8.6,2014,현대 싼타페,현대,1.0,경차
87,94,2015 쏘울,I4 1.6 GDI,자연흡기,가솔린,"1,591cc",132hp,16.4kg.m,,151~152g/km,"4,140mm / 1,800mm","1,600mm / 2,570mm","1,576mm / 1,588mm","1,264~1,298kg",205~235mm / 45~60 / 16~18inch,205~235mm / 45~60 / 16~18inch,앞엔진 전륜 구동,"수동6단, 자동6단",맥퍼슨 스트럿,토션 빔,V디스크,디스크,랙 앤 피니언,,,,,,,,2015 기아 쏘울,8.3,8.7,8.4,8.5,9.1,7.0,8.3,2015,기아 쏘울,기아,1.0,경차
