,Unnamed: 0,차종,엔진형식,과급방식,연료,배기량,최고출력,최대토크,연비_x,CO₂ 배출량,전장/전폭,전고/축거,윤거전/후,공차중량,전륜타이어,후륜타이어,구동방식,변속기,전륜서스펜션,후륜서스펜션,전륜제동장치,후륜제동장치,스티어링,출력,토크,주행거리,용량,타입,최고속도,가속성능,풀네임,주행,가격,거주성,품질,디자인,연비_y,종합점수,연도,차이름,브랜드,배기량_num,차급
1011,1047,2020 렉서스 IS,I4,싱글터보,가솔린,"1,998cc",245hp,35.7kg.m,,170g/km,"4,680mm / 1,810mm","1,430mm / 2,800mm","1,535mm / 1,550mm","1,670kg",225mm / 45 / 17inch,225mm / 45 / 17inch,앞엔진 후륜 구동,자동8단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,,2020 렉서스 IS,9.3,8.4,8.2,9.6,9.3,7.0,8.6,2020,렉서스 IS,렉서스,1.0,경차
1015,1051,2014 K5,I4 2.0,자연흡기,가솔린,"1,999cc",172hp,20.5kg.m,,142~147g/km,"4,845mm / 1,835mm","1,455mm / 2,795mm","1,591~1,601mm / 1,591~1,601mm","1,400~1,415kg",205~225mm / 45~65 / 16~18inch,205~225mm / 45~65 / 16~18inch,앞엔진 전륜 구동,"수동6단, 자동6단",맥퍼슨 스트럿,멀티링크,디스크,디스크,랙 앤 피니언,,,,,,,,2014 기아 K5,8.5,8.5,8.3,8.2,8.9,7.6,8.3,2014,기아 K5,기아,1.0,경차
1017,1053,2016 아반떼,l4,자연흡기,가솔린,"1,591cc",132hp,16.4kg.m,,121~126g/km,"4,570mm / 1,800mm","1,440mm / 2,700mm","1,563mm / 1,572mm","1,220~1,290kg",195~225mm / 45~65 / 15~17inch,195~225mm / 45~65 / 15~17inch,앞엔진 전륜 구동,"수동6단, 자동6단",맥퍼슨 스트럿,토션빔 액슬,V디스크,디스크,랙 앤 피니언,,,,,,,,2016 현대 아반떼,8.9,9.1,8.4,8.6,9.1,8.7,8.8,2016,현대 아반떼,현대,1.0,경차
1018,1054,2017 그랜드 스타렉스,l4,자연흡기,LPG,"2,359cc",157hp,23kg.m,,218g/km,"5,150mm / 1,920mm","1,925mm / 3,200mm","1,685mm / 1,660mm","2,180kg",215mm / 70 / 16inch,215mm / 70 / 16inch,앞엔진 후륜 구동,자동4단,맥퍼슨 스트럿,5링크,디스크,디스크,랙 앤 피니언,,,,,,,,2017 현대 그랜드 스타렉스,8.5,8.2,8.2,8.0,8.2,6.9,8.0,2017,현대 그랜드 스타렉스,현대,2.0,경차
1021,1057,2024 니로 EV,,,전기,,,,,,"4,420mm / 1,825mm","1,570mm / 2,720mm","1,571mm / 1,581mm","1,705kg",215mm / 55 / 17inch,215mm / 55 / 17inch,앞엔진 전륜 구동,자동1단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,150kW201.2hp (단순환산치),255Nm26.0kg.m (단순환산치),401km,64.8kWh,리튬 이온,,,2024 기아 니로 EV,9.4,7.9,8.8,8.6,8.7,8.6,8.7,2024,기아 니로 EV,기아,,대형/프리미엄
1022,1058,2016 QM6,l4,싱글터보,디젤,"1,995cc",177hp,38.7kg.m,,148~153g/km,"4,675mm / 1,845mm","1,680mm / 2,705mm","1,595mm / 1,590mm","1,645~1,705kg",225mm / 55~65 / 17~19inch,225mm / 55~65 / 17~19inch,앞엔진 전륜 구동,CVT,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,,2016 르노코리아 QM6,8.2,8.9,8.2,8.0,9.2,7.8,8.4,2016,르노코리아 QM6,르노코리아,1.0,경차
1023,1059,2022 코나 하이브리드,I4,자연흡기,가솔린,"1,580cc",105hp 합산 141hp,15kg.m,,82~92g/km,"4,205mm / 1,800mm","1,550~1,565mm / 2,600mm","1,565~1,576mm / 1,577~1,589mm","1,395~1,425kg",205~235mm / 45~60 / 16~18inch,205~235mm / 45~60 / 16~18inch,앞엔진 전륜 구동,DCT6단,맥퍼슨 스트럿,멀티링크,디스크,디스크,랙 앤 피니언,,,,,,,,2022 현대 코나 하이브리드,9.2,7.8,8.2,8.9,8.5,9.5,8.7,2022,현대 코나 하이브리드,현대,1.0,경차
1025,1061,2022 그랜저,I4,자연흡기,가솔린,"2,497cc",198hp,25.3kg.m,,142~153g/km,"4,990mm / 1,875mm","1,470mm / 2,885mm","1,602~1,612mm / 1,610~1,620mm","1,575~1,625kg",225~245mm / 40~55 / 17~19inch,225~245mm / 40~55 / 17~19inch,앞엔진 전륜 구동,자동8단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,,,2022 현대 그랜저,9.1,8.7,9.3,8.8,8.8,7.3,8.7,2022,현대 그랜저,현대,2.0,경차
1026,1062,2015 쏘울 EV,,,전기,,,,,,"4,140mm / 1,800mm","1,600mm / 2,570mm","1,576mm / 1,585mm","1,508kg",205mm / 60 / 16inch,205mm / 60 / 16inch,앞엔진 전륜 구동,자동,맥퍼슨 스트럿,토션빔,디스크,디스크,랙 앤 피니언,81.4kW109.2hp (단순환산치),285Nm29.1kg.m (단순환산치),148km,27kWh,리튬이온 폴리머,,,2015 기아 쏘울 EV,9.0,9.0,8.6,8.5,8.4,6.4,8.3,2015,기아 쏘울 EV,기아,,대형/프리미엄
1030,1066,2018 메르세데스-AMG CLA,I4,싱글터보,가솔린,"1,991cc",381hp,48.4kg.m,,176g/km,"4,665mm / 1,775mm","1,435mm / 2,700mm","1,555mm / 1,555mm","1,640kg",235mm / 35 / 19inch,235mm / 35 / 19inch,상시사륜 구동,DCT7단,스트럿/위시본,위시본/트레일링 암,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,4.2초,2018 메르세데스-벤츠 AMG CLA,9.2,8.5,7.8,8.7,9.7,8.1,8.6,2018,메르세데스-벤츠 AMG CLA,메르세데스-벤츠,1.0,경차
1031,1067,2021 SM6,I4,싱글터보,가솔린,"1,332cc",156hp,26.5kg.m,,121~128g/km,"4,855mm / 1,870mm","1,460mm / 2,810mm","1,615mm / 1,610mm","1,420~1,475kg",205~245mm / 40~65 / 16~19inch,205~245mm / 40~65 / 16~19inch,앞엔진 전륜 구동,DCT7단,맥퍼슨 스트럿,토션빔,V디스크,디스크,랙 앤 피니언,,,,,,,,2021 르노코리아 SM6,9.3,8.4,8.9,8.8,9.6,8.4,8.9,2021,르노코리아 SM6,르노코리아,1.0,경차
1033,1069,2019 G70,l4,싱글터보,가솔린,"1,998cc",252~255hp,36kg.m,,156~161g/km,"4,685mm / 1,850mm","1,400mm / 2,835mm","1,596mm / 1,604~1,632mm","1,595~1,630kg",225mm / 40~45 / 18~19inch,225~255mm / 35~45 / 18~19inch,앞엔진 후륜 구동,자동8단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,,2019 제네시스 G70,9.5,8.1,7.3,8.9,9.6,5.9,8.2,2019,제네시스 G70,제네시스,1.0,경차
1037,1073,2016 EQ900L,V8,자연흡기,가솔린,"5,038cc",425hp,53kg.m,,239g/km,"5,495mm / 1,915mm","1,495mm / 3,450mm","1,640mm / 1,639mm","2,270kg",245mm / 45 / 19inch,275mm / 40 / 19inch,상시사륜 구동,자동8단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,,2016 제네시스 EQ900L,9.5,8.6,9.4,9.3,9.4,6.7,8.8,2016,제네시스 EQ900L,제네시스,5.0,경차
1039,1075,2023 BMW 8시리즈,V8,트윈터보,가솔린,"4,395cc",530hp,76.5kg.m,,226g/km,"4,850mm / 1,900mm","1,340mm / 2,820mm","1,627mm / 1,642mm","1,985kg",245mm / 35 / 20inch,275mm / 30 / 20inch,상시사륜 구동,자동8단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,3.9초,2023 BMW 8시리즈,9.9,9.2,9.2,9.8,9.9,7.6,9.3,2023,BMW 8시리즈,BMW,4.0,경차
1041,1077,2023 BMW 2시리즈 그란쿠페,I4,싱글터보,가솔린,"1,998cc",192hp,28.6kg.m,,151g/km,"4,525mm / 1,800mm","1,420mm / 2,670mm",,"1,525kg",225mm / 40~45 / 17~18inch,225mm / 40~45 / 17~18inch,앞엔진 전륜 구동,자동8단,싱글 조인트,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,238km/h,7.1초,2023 BMW 2시리즈 그란쿠페,9.7,8.9,8.1,9.4,9.6,8.9,9.1,2023,BMW 2시리즈 그란쿠페,BMW,1.0,경차
1042,1078,2015 카니발 하이리무진,I4 디젤 직분사,싱글터보,디젤,"2,199cc",202hp,45kg.m,,197g/km,"5,115mm / 1,985mm","2,040mm / 3,060mm",,"2,158kg",235mm / 55 / 19inch,235mm / 55 / 19inch,앞엔진 전륜 구동,토크컨버터6단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,,,2015 기아 카니발 하이리무진,8.8,8.5,8.9,8.4,8.9,7.2,8.4,2015,기아 카니발 하이리무진,기아,2.0,경차
1046,1082,2016 BMW X4 M,I6,트윈터보,가솔린,"2,979cc",360hp,47.4kg.m,,199g/km,"4,671mm / 1,901mm","1,624mm / 2,810mm","1,610mm / 1,600mm",,245mm / 45 / 19inch,275mm / 40 / 19inch,상시사륜 구동,토크컨버터8단,더블 조인트 스트럿,5링크,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,4.9초,2016 BMW X4 M,9.9,8.9,8.6,9.8,9.9,5.4,8.7,2016,BMW X4 M,BMW,2.0,경차
1047,1083,2018 쏘나타,l4,자연흡기,가솔린,"1,999cc",163hp,20kg.m,,136~143g/km,"4,855mm / 1,865mm","1,475mm / 2,805mm","1,597~1,614mm / 1,604~1,621mm","1,450~1,470kg",205~235mm / 45~65 / 16~18inch,205~235mm / 45~65 / 16~18inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,,,2018 현대 쏘나타,8.8,8.8,9.0,8.7,8.1,7.9,8.5,2018,현대 쏘나타,현대,1.0,경차
1048,1084,2021 모하비,V6,싱글터보,디젤,"2,959cc",260hp,57.1kg.m,,210~212g/km,"4,930mm / 1,920mm","1,790mm / 2,895mm","1,614mm / 1,624mm","2,265~2,280kg",265mm / 50~60 / 18~20inch,265mm / 50~60 / 18~20inch,상시사륜 구동,자동8단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,,2021 기아 모하비,9.3,8.2,8.9,9.1,9.5,6.7,8.6,2021,기아 모하비,기아,2.0,경차
1051,1087,2019 카니발,l4,싱글터보,디젤,"2,199cc",202hp,45kg.m,,171g/km,"5,115mm / 1,985mm","1,740mm / 3,060mm","1,735mm / 1,742mm","2,165kg",235mm / 55 / 19inch,235mm / 55 / 19inch,앞엔진 전륜 구동,자동8단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,,,2019 기아 카니발,8.8,8.3,9.0,8.5,9.0,7.1,8.4,2019,기아 카니발,기아,2.0,경차
1052,1088,2014 엑센트 위트,I4 1.4,자연흡기,가솔린,"1,368cc",100hp,13.6kg.m,,122g/km,"4,115mm / 1,705mm","1,455mm / 2,570mm","1,488~1,506mm / 1,493~1,511mm","1,095kg",175~195mm / 50~70 / 14~16inch,175~195mm / 50~70 / 14~16inch,앞엔진 전륜 구동,CVT,맥퍼슨 스트럿,토션빔 액슬,디스크,디스크,랙 앤 피니언,,,,,,,,2014 현대 엑센트 위트,8.7,9.0,8.0,8.2,8.2,8.8,8.5,2014,현대 엑센트 위트,현대,1.0,경차
1053,1089,2024 G90 LWB,V6,트윈터보,가솔린,"3,470cc",415hp,56kg.m,,209g/km,"5,465mm / 1,930mm","1,490mm / 3,370mm","1,655mm / 1,660mm","2,295kg",245mm / 45 / 20inch,275mm / 40 / 20inch,상시사륜 구동,자동8단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,,2024 제네시스 G90 LWB,9.6,8.5,9.7,9.4,9.3,8.6,9.2,2024,제네시스 G90 LWB,제네시스,3.0,경차
1055,1091,2022 메르세데스-EQ EQA,,,전기,,,,,,"4,465mm / 1,835mm","1,625mm / 2,729mm","1,603mm / 1,601mm","1,985kg",235mm / 55 / 18inch,235mm / 55 / 18inch,앞엔진 전륜 구동,자동1단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,140kW187.7hp (단순환산치),375Nm38.2kg.m (단순환산치),303km,66.5kWh,리튬 이온,,,2022 메르세데스-벤츠 EQA,9.9,9.1,9.3,9.8,9.8,9.7,9.4,2022,메르세데스-벤츠 EQA,메르세데스-벤츠,,대형/프리미엄
1056,1092,2024 레이,I3,자연흡기,가솔린,998cc,76hp,9.7kg.m,,127~131g/km,"3,595mm / 1,595mm","1,700mm / 2,520mm","1,410~1,416mm / 1,418~1,424mm","1,040~1,045kg",165~175mm / 50~60 / 14~15inch,165~175mm / 50~60 / 14~15inch,앞엔진 전륜 구동,자동4단,맥퍼슨 스트럿,토션빔,디스크,디스크,랙 앤 피니언,,,,,,,,2024 기아 레이,8.0,8.0,9.2,8.8,9.4,8.0,8.6,2024,기아 레이,기아,998.0,경차
1057,1093,2024 메르세데스-AMG GLC,I6,트윈터보,가솔린,"2,999cc",435hp,57.1kg.m,,216g/km,"4,935mm / 2,015mm","1,780mm / 2,995mm","1,681mm / 1,726mm","2,445kg",285mm / 40 / 22inch,325mm / 35 / 22inch,상시사륜 구동,자동9단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,5초,2024 메르세데스-벤츠 AMG GLC,9.4,7.5,9.1,9.2,9.8,8.6,8.9,2024,메르세데스-벤츠 AMG GLC,메르세데스-벤츠,2.0,경차
1058,1094,2023 아이오닉 5,,,전기,,,,,,"4,635mm / 1,890mm","1,605mm / 3,000mm","1,638mm / 1,647mm","1,840kg",235mm / 55 / 19inch,235mm / 55 / 19inch,뒤엔진 후륜 구동,자동1단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,125kW167.6hp (단순환산치),350Nm35.7kg.m (단순환산치),336km,58kWh,리튬 이온,,,2023 현대 아이오닉 5,9.7,8.0,9.5,9.0,9.4,8.8,9.0,2023,현대 아이오닉 5,현대,,대형/프리미엄
1059,1095,2018 메르세데스-AMG GLA,l4,싱글터보,가솔린,"1,991cc",381hp,48.4kg.m,,,"4,440mm / 1,805mm","1,505mm / 2,700mm","1,555mm / 1,560mm","1,640kg",235mm / 40 / 20inch,235mm / 40 / 20inch,상시사륜 구동,DCT7단,맥퍼슨 스트럿,트레일링 링크,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,4.4초,2018 메르세데스-벤츠 AMG GLA,9.2,8.4,8.2,8.9,9.4,8.1,8.7,2018,메르세데스-벤츠 AMG GLA,메르세데스-벤츠,1.0,경차
1060,1096,2021 모닝,I3,자연흡기,가솔린,998cc,76hp,9.7kg.m,,104g/km,"3,595mm / 1,595mm","1,485mm / 2,400mm","1,406mm / 1,415mm",910kg,175mm / 65 / 14inch,175mm / 65 / 14inch,앞엔진 전륜 구동,자동4단,맥퍼슨 스트럿,토션빔,디스크,드럼,랙 앤 피니언,,,,,,,,2021 기아 모닝,8.2,7.8,8.3,8.4,8.9,8.1,8.3,2021,기아 모닝,기아,998.0,경차
1062,1098,2014 BMW X5,I6 직분사 디젤,싱글터보,디젤,"2,993cc",258hp,57.1kg.m,,162g/km,"4,886mm / 1,938mm","1,762mm / 2,933mm","1,644mm / 1,650mm","0~2,070kg",255mm / 50~55 / 19inch,255mm / 50~55 / 19inch,상시사륜 구동,자동8단,더블 위시본,멀티 링크,V디스크,V디스크,랙 앤 피니언,,,,,,230km/h,6.9초,2014 BMW X5,9.8,8.4,9.1,9.2,9.5,8.7,9.1,2014,BMW X5,BMW,2.0,경차
1064,1100,2016 메르세데스-벤츠 GLC,l4,싱글터보,디젤,"2,143cc",170hp,40.8kg.m,,148g/km,"4,660mm / 1,890mm","1,640mm / 2,875mm","1,615mm / 1,615mm","1,985kg",235mm / 60 / 18inch,235mm / 60 / 18inch,상시사륜 구동,자동9단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,210km/h,8.3초,2016 메르세데스-벤츠 GLC,9.3,7.8,8.6,8.9,9.6,8.2,8.7,2016,메르세데스-벤츠 GLC,메르세데스-벤츠,2.0,경차
1065,1102,2022 카니발 하이리무진,I4,싱글터보,디젤,"2,151cc",194hp,45kg.m,,176g/km,"5,200mm / 1,995mm","2,045mm / 3,090mm","1,741mm / 1,741mm","2,175kg",235mm / 55 / 19inch,235mm / 55 / 19inch,앞엔진 전륜 구동,자동8단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,,,2022 기아 카니발 하이리무진,9.2,8.4,9.2,8.6,9.3,7.6,8.7,2022,기아 카니발 하이리무진,기아,2.0,경차
1069,1106,2023 BMW M4 컨버터블,I6,트윈터보,가솔린,"2,993cc",510hp,66.3kg.m,,206g/km,"4,795mm / 1,885mm","1,400mm / 2,855mm","1,617mm / 1,605mm","1,745kg",275mm / 35 / 19inch,285mm / 30 / 20inch,상시사륜 구동,자동8단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,3.7초,2023 BMW M4 컨버터블,9.9,8.0,8.8,9.4,9.4,7.0,8.7,2023,BMW M4 컨버터블,BMW,2.0,경차
1070,1107,2021 아반떼 N,I4,싱글터보,가솔린,"1,998cc",280hp,40kg.m,,158~164g/km,"4,675mm / 1,825mm","1,415mm / 2,720mm","1,584mm / 1,579mm","1,450~1,485kg",245mm / 35 / 19inch,245mm / 35 / 19inch,앞엔진 전륜 구동,"수동6단, DCT8단",맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,,2021 현대 아반떼 N,9.6,8.7,8.6,8.4,9.7,8.8,9.0,2021,현대 아반떼 N,현대,1.0,경차
1071,1108,2016 메르세데스-벤츠 SLC,l4,싱글터보,디젤,"2,143cc",170hp,40.8kg.m,,148g/km,"4,660mm / 1,890mm","1,640mm / 2,875mm","1,615mm / 1,615mm","1,985kg",235mm / 60 / 18inch,235mm / 60 / 18inch,상시사륜 구동,자동9단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,210km/h,8.3초,2016 메르세데스-벤츠 SLC,9.4,9.0,6.2,8.8,9.6,8.2,8.5,2016,메르세데스-벤츠 SLC,메르세데스-벤츠,2.0,경차
1072,1109,2024 BMW iX3,,,전기,,,,,,"4,735mm / 1,890mm","1,670mm / 2,865mm","1,616mm / 1,598mm","2,210kg",245mm / 45 / 20inch,275mm / 40 / 20inch,뒤엔진 후륜 구동,자동1단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,210kW281.6hp (단순환산치),400Nm40.8kg.m (단순환산치),344km,74kWh,리튬 이온,180km/h,6.8초,2024 BMW iX3,9.9,9.2,9.5,9.7,9.8,8.7,9.5,2024,BMW iX3,BMW,,대형/프리미엄
1073,1110,2021 렉서스 NX,l4,싱글터보,가솔린,"1,998cc",238hp,35.7kg.m,,186g/km,"4,640mm / 1,845mm","1,645mm / 2,660mm","1,580mm / 1,580mm","1,840kg",225mm / 60 / 18inch,225mm / 60 / 18inch,상시사륜 구동,자동6단,맥퍼슨 스트럿,더블 위시본,V디스크,V디스크,랙 앤 피니언,,,,,,,,2021 렉서스 NX,9.1,8.5,9.1,9.7,9.4,8.8,9.1,2021,렉서스 NX,렉서스,1.0,경차
1075,1112,2020 메르세데스-벤츠 GLS,I6,싱글터보,디젤,"2,925cc",330hp,71.4kg.m,,199g/km,"5,220mm / 2,030mm","1,825mm / 3,135mm","1,705mm / 1,732mm","2,595kg",275mm / 45 / 21inch,315mm / 40 / 21inch,상시사륜 구동,자동9단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,238km/h,6.3초,2020 메르세데스-벤츠 GLS,9.6,8.2,9.5,8.8,9.4,7.7,8.9,2020,메르세데스-벤츠 GLS,메르세데스-벤츠,2.0,경차
1076,1113,2024 테슬라 모델 X,,,전기,,,,,,"4,750mm / 1,920mm","1,625mm / 2,890mm",,"1,910kg",255mm / 45 / 19inch,255mm / 45 / 19inch,뒤엔진 후륜 구동,자동1단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,220kW295.0hp (단순환산치),420Nm42.8kg.m (단순환산치),350km,60kWh,리튬 인산철,217km/h,6.9초,2024 테슬라 모델 X,9.9,7.9,9.6,7.4,9.1,9.2,8.8,2024,테슬라 모델 X,테슬라,,대형/프리미엄
1077,1114,2024 BMW Z4,I4,싱글터보,가솔린,"1,998cc",197hp,32.6kg.m,,159g/km,"4,325mm / 1,865mm","1,300mm / 2,470mm","1,593mm / 1,588mm","1,525kg",255mm / 35 / 19inch,275mm / 35 / 19inch,앞엔진 후륜 구동,자동8단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,240km/h,6.6초,2024 BMW Z4,9.5,9.2,7.2,9.4,9.6,8.6,8.9,2024,BMW Z4,BMW,1.0,경차
1078,1115,2017 카니발,l4,싱글터보,디젤,"2,199cc",199hp,45kg.m,,179g/km,"5,115mm / 1,985mm","1,740mm / 3,060mm","1,735mm / 1,742mm","2,098kg",235mm / 55 / 19inch,235mm / 55 / 19inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티 링크,V디스크,디스크,랙 앤 피니언,,,,,,,,2017 기아 카니발,8.8,8.5,8.9,8.4,8.9,7.2,8.4,2017,기아 카니발,기아,2.0,경차
1080,1117,2020 스팅어,l4,싱글터보,가솔린,"1,998cc",255hp,36kg.m,,161g/km,"4,830mm / 1,870mm","1,400mm / 2,905mm","1,596mm / 1,647mm","1,650kg",225mm / 45 / 18inch,225mm / 45 / 18inch,앞엔진 후륜 구동,자동8단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,,,2020 기아 스팅어,9.5,8.5,8.3,8.2,9.8,5.8,8.4,2020,기아 스팅어,기아,1.0,경차
1081,1118,2020 BMW 5시리즈,l4,싱글터보,가솔린,"1,998cc",184hp,29.6kg.m,,153g/km,"4,935mm / 1,860mm","1,455mm / 2,975mm","1,605mm / 1,630mm","1,615kg",245mm / 45 / 18inch,245mm / 45 / 18inch,앞엔진 후륜 구동,토크컨버터8단,더블 위시본,5링크,V디스크,V디스크,랙 앤 피니언,,,,,,235km/h,7.8초,2020 BMW 5시리즈,9.8,8.9,8.8,9.5,9.6,9.0,9.2,2020,BMW 5시리즈,BMW,1.0,경차
1082,1119,2018 넥쏘,,,"전기, 수소",,,,,,"4,670mm / 1,860mm","1,630~1,640mm / 2,790mm","1,614~1,618mm / 1,625~1,629mm","1,820~1,885kg",225~245mm / 45~60 / 17~19inch,225~245mm / 45~60 / 17~19inch,앞엔진 전륜 구동,자동1단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,113kW151.5hp (단순환산치),395Nm40.3kg.m (단순환산치),593~609km,156.6kWh,리튬 이온 폴리머,177~179km/h,,2018 현대 넥쏘,9.6,8.8,9.0,8.8,9.0,9.3,9.1,2018,현대 넥쏘,현대,,대형/프리미엄
1083,1120,2023 BMW 4시리즈 컨버터블,I4,싱글터보,가솔린,"1,998cc",184hp,30.6kg.m,,149g/km,"4,770mm / 1,845mm","1,385mm / 2,850mm","1,575mm / 1,611mm","1,740kg",225mm / 45 / 18inch,255mm / 40 / 18inch,앞엔진 후륜 구동,자동8단,더블 조인트,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,236km/h,8.2초,2023 BMW 4시리즈 컨버터블,9.7,9.0,8.8,9.7,9.8,8.8,9.3,2023,BMW 4시리즈 컨버터블,BMW,1.0,경차
1084,1121,2023 니로 EV,,,전기,,,,,,"4,420mm / 1,825mm","1,570mm / 2,720mm","1,571mm / 1,581mm","1,705kg",215mm / 55 / 17inch,215mm / 55 / 17inch,앞엔진 전륜 구동,자동1단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,150kW201.2hp (단순환산치),255Nm26.0kg.m (단순환산치),401km,64.8kWh,리튬 이온,,,2023 기아 니로 EV,9.4,7.9,8.8,8.6,8.7,8.6,8.7,2023,기아 니로 EV,기아,,대형/프리미엄
1085,1122,2022 스포티지 하이브리드,I4,싱글터보,가솔린,"1,598cc",180hp 합산 230hp,27kg.m 합산 35.7kg.m,,96g/km,"4,660mm / 1,865mm","1,665~1,680mm / 2,755mm","1,615~1,620mm / 1,622~1,627mm","1,625kg",235mm / 60~65 / 17~18inch,235mm / 60~65 / 17~18inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,,,2022 기아 스포티지 하이브리드,9.4,7.0,9.3,9.0,9.5,9.1,8.9,2022,기아 스포티지 하이브리드,기아,1.0,경차
1092,1129,2022 BMW 5시리즈,I4,싱글터보,가솔린,"1,998cc",184hp,29.6kg.m,,135g/km,"4,965mm / 1,870mm","1,480mm / 2,975mm","1,606mm / 1,631mm","1,670kg",245mm / 40~45 / 18~19inch,245~275mm / 35~45 / 18~19inch,앞엔진 후륜 구동,토크컨버터8단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,235km/h,7.8초,2022 BMW 5시리즈,9.8,8.9,8.8,9.5,9.6,9.0,9.2,2022,BMW 5시리즈,BMW,1.0,경차
1095,1132,2014 메르세데스-벤츠 GLK,I4 직분사,트윈터보,디젤,"2,143cc",170hp,40.8kg.m,,151g/km,"4,535mm / 1,840mm","1,670mm / 2,755mm","1,595mm / 1,605mm","1,940kg",235mm / 60 / 17inch,235mm / 60 / 17inch,상시사륜 구동,자동7단,멀티 링크,멀티 링크,V디스크,V디스크,랙 앤 피니언,,,,,,205km/h,8.8초,2014 메르세데스-벤츠 GLK,9.7,9.4,9.1,9.6,9.7,9.4,9.5,2014,메르세데스-벤츠 GLK,메르세데스-벤츠,2.0,경차
1097,1134,2023 BMW X4,I4,싱글터보,가솔린,"1,998cc",184hp,29.5kg.m,,172g/km,"4,750mm / 1,920mm","1,620mm / 2,865mm",,"1,900kg",245mm / 50 / 19inch,245mm / 50 / 19inch,상시사륜 구동,자동8단,더블 조인트 스트럿,5링크,V디스크,V디스크,랙 앤 피니언,,,,,,210km/h,8.3초,2023 BMW X4,9.4,8.4,8.4,9.2,9.8,8.1,8.9,2023,BMW X4,BMW,1.0,경차
1099,1136,2018 렉서스 GS 하이브리드,V6,자연흡기,가솔린,"3,456cc",290hp 합산 343hp,35.5kg.m,,132g/km,"4,880mm / 1,840mm","1,455mm / 2,850mm","1,575mm / 1,590mm","1,900kg",235mm / 45 / 18inch,235mm / 45 / 18inch,앞엔진 후륜 구동,CVT,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,,2018 렉서스 GS 하이브리드,9.6,9.5,8.5,10.0,9.5,7.9,9.2,2018,렉서스 GS 하이브리드,렉서스,3.0,경차
1100,1137,2020 K5,I4,싱글터보,가솔린,"1,598cc",180hp,27kg.m,,121~127g/km,"4,905mm / 1,860mm","1,445mm / 2,850mm","1,618~1,623mm / 1,625~1,630mm","1,420~1,450kg",215~235mm / 45~55 / 17~18inch,215~235mm / 45~55 / 17~18inch,앞엔진 전륜 구동,자동8단,맥퍼슨 스트럿,멀티 링크,V디스크,디스크,랙 앤 피니언,,,,,,,,2020 기아 K5,9.0,8.1,8.8,8.4,9.7,7.8,8.6,2020,기아 K5,기아,1.0,경차
