,차종,엔진형식,과급방식,연료,배기량,최고출력,최대토크,연비,CO₂ 배출량,전장/전폭,전고/축거,윤거전/후,공차중량,전륜타이어,후륜타이어,구동방식,변속기,전륜서스펜션,후륜서스펜션,전륜제동장치,후륜제동장치,스티어링,출력,토크,주행거리,용량,타입,최고속도,가속성능
195,2026 BMW 8시리즈 그란쿠페,V8,트윈터보,가솔린,"4,395cc",530hp,76.5kg.m,"복합 7.7km/ℓ 도심 6.6km/ℓ, 고속 9.6km/ℓ",224g/km,"5,080mm / 1,930mm","1,405mm / 3,025mm","1,627mm / 1,671mm","2,120kg",245mm / 35 / 20inch,275mm / 30 / 20inch,상시사륜 구동,자동8단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,3.9초
196,2025 BMW i5,,,전기,,,,"복합 4.6km/kWh 도심 4.6km/kWh, 고속 4.6km/kWh",,"5,060mm / 1,900mm","1,515mm / 2,995mm","1,622mm / 1,658mm","2,250kg",245mm / 45 / 19inch,245mm / 45 / 19inch,뒤엔진 후륜 구동,자동1단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,250kW335.3hp (단순환산치),400Nm40.8kg.m (단순환산치),441km,81.2kWh,리튬 이온,193km/h,6초
197,2008 카니발,2.7 LPI,,LPG,"2,656cc",161hp,25kg.m,"복합 6.8km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"4,810mm / 1,985mm","1,760mm / 2,890mm","1,685mm / 1,685mm","2,110kg",225mm / 70 / 16inch,225mm / 70 / 16inch,앞엔진 전륜 구동,자동4단,맥퍼슨 스트럿,멀티링크 코일스프링,V디스크,디스크,랙 앤 피니언,,,,,,,
198,1990 엘란트라,I4 1.5,,가솔린,"1,468cc",90hp,13.5kg.m,"복합 13.5km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"4,375mm / 1,675mm","1,395mm / 2,500mm","1,430mm / 1,430mm","1,082kg",,,앞엔진 전륜 구동,자동4단,맥퍼슨 스트럿,토션빔,,,랙 앤 피니언,,,,,,,
199,2019 쏘나타,I4,싱글터보,가솔린,"1,591cc",180hp,27kg.m,"복합 13.2~13.7km/ℓ 도심 11.8~12.3km/ℓ, 고속 15.2~15.9km/ℓ",122~127g/km,"4,900mm / 1,860mm","1,445mm / 2,840mm","1,633mm / 1,640mm","1,420~1,460kg",215~235mm / 45~55 / 17~18inch,215~235mm / 45~55 / 17~18inch,앞엔진 전륜 구동,자동8단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,,
200,1990 엑셀 해치백,l4,자연흡기,가솔린,"1,298cc",82hp,12.1kg.m,"복합 16km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"4,100mm / 1,605mm","1,385mm / 2,385mm","1,390mm / 1,340mm",,,,앞엔진 전륜 구동,수동4단,맥퍼슨 스트럿,트레일링 암,,,랙 앤 피니언,,,,,,,
201,2020 렉서스 LC 하이브리드,V6,자연흡기,가솔린,"3,456cc",299hp 합산 359hp,35.7kg.m,"복합 10.9km/ℓ 도심 10.5km/ℓ, 고속 11.5km/ℓ",155g/km,"4,760mm / 1,920mm","1,345mm / 2,870mm","1,630mm / 1,635mm","2,010kg",245mm / 40 / 21inch,275mm / 35 / 21inch,앞엔진 후륜 구동,CVT,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,
202,2023 BMW Z4,I4,싱글터보,가솔린,"1,998cc",197hp,32.6kg.m,"복합 10.7km/ℓ 도심 9.8km/ℓ, 고속 12.1km/ℓ",159g/km,"4,325mm / 1,865mm","1,300mm / 2,470mm","1,593mm / 1,588mm","1,525kg",255mm / 35 / 19inch,275mm / 35 / 19inch,앞엔진 후륜 구동,자동8단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,240km/h,6.6초
203,2019 아반떼,l4,자연흡기,가솔린,"1,598cc",123hp,15.7kg.m,"복합 14~15.2km/ℓ 도심 12.5~13.6km/ℓ, 고속 16.2~17.7km/ℓ",108~119g/km,"4,620mm / 1,800mm","1,440mm / 2,700mm","1,555~1,563mm / 1,564~1,572mm","1,230~1,290kg",0~205mm / 0~65 / 15~17inch,0~205mm / 0~65 / 15~17inch,앞엔진 전륜 구동,"수동6단, CVT",맥퍼슨 스트럿,토션빔,V디스크,디스크,랙 앤 피니언,,,,,,,
204,2021 메르세데스-EQ EQA,,,전기,,,,"복합 4.1km/kWh 도심 4.3km/kWh, 고속 3.9km/kWh",,"4,465mm / 1,835mm","1,625mm / 2,729mm","1,603mm / 1,601mm","1,985kg",235mm / 55 / 18inch,235mm / 55 / 18inch,앞엔진 전륜 구동,자동1단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,140kW187.7hp (단순환산치),375Nm38.2kg.m (단순환산치),306km,66.5kWh,리튬 이온,160km/h,8.9초
205,2018 쏘렌토,l4,싱글터보,디젤,"1,995cc",186hp,41kg.m,"복합 11.3~13.1km/ℓ 도심 0~12km/ℓ, 고속 0~14.9km/ℓ",145~170g/km,"4,800mm / 1,890mm","1,685~1,690mm / 2,780mm","1,628mm / 1,639mm","1,820~1,905kg",235mm / 55~60 / 18~19inch,235mm / 55~60 / 18~19inch,"앞엔진 전륜 구동, 상시사륜 구동",자동6단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,,
206,2018 렉서스 LS,V6,트윈터보,가솔린,"3,445cc",422hp,61.1kg.m,"복합 8.8km/ℓ 도심 7.3km/ℓ, 고속 11.9km/ℓ",198g/km,"5,235mm / 1,900mm","1,460mm / 3,125mm","1,630mm / 1,635mm","2,170kg",245mm / 50 / 19inch,245mm / 50 / 19inch,앞엔진 후륜 구동,자동10단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,
207,2023 BMW iX1,,,전기,,,,"복합 4.2km/kWh 도심 4.2km/kWh, 고속 4.1km/kWh",,"4,500mm / 1,835mm","1,615mm / 2,690mm","1,577mm / 1,579mm","2,085kg",225mm / 55 / 18inch,225mm / 55 / 18inch,상시사륜 구동,자동1단,싱글 조인트 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,230kW308.4hp (단순환산치),494Nm50.4kg.m (단순환산치),310km,66.5kWh,리튬 이온,180km/h,5.6초
208,2013 스포티지,I4 2.0,,디젤,"1,995cc",184hp,40kg.m,"복합 13.4~14.2km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",138~148g/km,"4,440mm / 1,855mm","1,635~1,645mm / 2,640mm","1,614mm / 1,615mm","1,515~1,550kg",215~235mm / 55~70 / 16~18inch,215~235mm / 55~70 / 16~18inch,앞엔진 전륜 구동,"수동6단, 자동6단",맥퍼슨 스트럿,멀티링크 코일스프링,V디스크,디스크,랙 앤 피니언,,,,,,,
209,2024 BMW i5 M60,,,전기,,,,"복합 3.8km/kWh 도심 3.8km/kWh, 고속 3.8km/kWh",,"5,060mm / 1,900mm","1,515mm / 2,995mm",,"2,410kg",245mm / 35 / 20inch,275mm / 30 / 20inch,상시사륜 구동,자동1단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,442kW592.7hp (단순환산치),795Nm81.1kg.m (단순환산치),361km,81.2kWh,리튬 이온,230km/h,3.8초
210,2025 테슬라 모델 Y,,,전기,,,,"복합 5.6km/kWh 도심 5.8km/kWh, 고속 5.4km/kWh",,"4,790mm / 1,980mm","1,625mm / 2,890mm","1,635mm / 1,635mm","1,920kg",255mm / 45 / 19inch,255mm / 45 / 19inch,뒤엔진 후륜 구동,자동1단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,255kW342.0hp (단순환산치),420Nm42.8kg.m (단순환산치),400km,62.1kWh,리튬 인산철,201km/h,5.9초
211,2025 팰리세이드,I4,싱글터보,가솔린,"2,497cc",281hp,43kg.m,"복합 9~9.7km/ℓ 도심 7.9~8.5km/ℓ, 고속 10.8~11.6km/ℓ",174~188g/km,"5,060mm / 1,980mm","1,805mm / 2,970mm","1,709~1,720mm / 1,721~1,732mm","1,985~2,015kg",235~255mm / 50~65 / 18~20inch,235~255mm / 50~65 / 18~20inch,앞엔진 전륜 구동,자동8단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,
212,2024 렉서스 LC 하이브리드,V6,자연흡기,가솔린,"3,456cc",299hp 합산 359hp,35.7kg.m,"복합 9.6km/ℓ 도심 8.8km/ℓ, 고속 10.9km/ℓ",175g/km,"5,235mm / 1,900mm","1,460mm / 3,125mm","1,635mm / 1,635mm","2,365~2,375kg",245mm / 45 / 20inch,245mm / 45 / 20inch,상시사륜 구동,CVT,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,
213,2014 쏘나타,I4 2.0,자연흡기,가솔린,"1,999cc",172hp,20.5kg.m,"복합 11.9~12.3km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",142~147g/km,"4,820mm / 1,835mm","1,470mm / 2,795mm","1,587~1,597mm / 1,587~1,597mm","1,400~1,415kg",205~225mm / 45~65 / 16~18inch,205~225mm / 45~65 / 16~18inch,앞엔진 전륜 구동,"수동6단, 자동6단",맥퍼슨 스트럿,멀티링크 코일스프링,디스크,디스크,랙 앤 피니언,,,,,,,
214,2024 스타리아 리무진,I4,싱글터보,디젤,"2,199cc",177hp,44kg.m,"복합 10km/ℓ 도심 8.9km/ℓ, 고속 11.7km/ℓ",196g/km,"5,255mm / 1,995mm","2,200mm / 3,275mm","1,721mm / 1,732mm","2,450~2,500kg",235mm / 55 / 18inch,235mm / 55 / 18inch,앞엔진 전륜 구동,자동8단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,,
215,2023 BMW i4 M50,,,전기,,,,"복합 4.1km/kWh 도심 4.1km/kWh, 고속 4.1km/kWh",,"4,785mm / 1,850mm","1,450mm / 2,855mm",,"2,260kg",245mm / 40 / 19inch,255mm / 40 / 19inch,상시사륜 구동,자동1단,더블 조인트 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,400kW536.4hp (단순환산치),795Nm81.1kg.m (단순환산치),378km,84kWh,리튬 이온,225km/h,3.9초
216,2024 메르세데스-벤츠 GLA,I4,싱글터보,가솔린,"1,991cc",224hp,35.7kg.m,"복합 10.8km/ℓ 도심 9.7km/ℓ, 고속 12.6km/ℓ",159g/km,"4,445mm / 1,850mm","1,615mm / 2,730mm","1,601mm / 1,608mm","1,710kg",235mm / 50 / 19inch,235mm / 50 / 19inch,상시사륜 구동,DCT8단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,240km/h,6.8초
217,2026 레이,I3,자연흡기,가솔린,998cc,76hp,9.7kg.m,"복합 12.6~12.9km/ℓ 도심 11.9~12.2km/ℓ, 고속 13.5~13.8km/ℓ",127~130g/km,"3,595mm / 1,595mm","1,700mm / 2,520mm","1,410~1,416mm / 1,418~1,424mm","1,085~1,090kg",165~175mm / 50~60 / 14~15inch,165~175mm / 50~60 / 14~15inch,앞엔진 전륜 구동,자동4단,맥퍼슨 스트럿,토션빔,디스크,디스크,랙 앤 피니언,,,,,,,
218,2004 비스토,4기통 MPI,,가솔린,798cc,54hp,7.4kg.m,"복합 16km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"3,495mm / 1,495mm","1,580mm / 2,380mm","1,315mm / 1,300mm",870kg,155mm / 70 / 13inch,155mm / 70 / 13inch,앞엔진 전륜 구동,수동5단,맥퍼슨 스트럿,토션빔 액슬,V디스크,드럼,랙 앤 피니언,,,,,,145km/h,
219,2015 BMW M6 그란쿠페,V8 직분사,트윈터보,가솔린,"4,395cc",560hp,69.4kg.m,"복합 7.6km/ℓ 도심 6.4km/ℓ, 고속 9.6km/ℓ",238g/km,"5,011mm / 1,899mm","1,393mm / 2,964mm",,"1,875kg",265mm / 35 / 20inch,295mm / 30 / 20inch,앞엔진 후륜 구동,DCT7단,더블위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,4.2초
220,2011 렉서스 GS 하이브리드,V6,,가솔린,"3,456cc",344hp 합산 344hp,36.9kg.m,"복합 12.7km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",184g/km,"4,845mm / 1,820mm","1,425mm / 2,850mm","1,535mm / 1,540mm","1,925kg",245mm / 45 / 18inch,245mm / 45 / 18inch,앞엔진 후륜 구동,CVT,더블 위시본,멀티링크 코일스프링,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,5.9초
221,2025 아반떼 N,I4,싱글터보,가솔린,"1,998cc",280hp,40kg.m,"복합 10.4~10.6km/ℓ 도심 8.9~9.4km/ℓ, 고속 12.5~12.9km/ℓ",159~163g/km,"4,710mm / 1,825mm","1,415mm / 2,720mm","1,584mm / 1,579mm","1,480~1,520kg",245mm / 35 / 19inch,245mm / 35 / 19inch,앞엔진 전륜 구동,"수동6단, DCT8단",맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,
222,2022 일렉트리파이드 GV70,,,전기,,,,"복합 4.6km/kWh 도심 5km/kWh, 고속 4.1km/kWh",,"4,715mm / 1,910mm","1,630mm / 2,875mm","1,647mm / 1,661mm","2,230kg",235mm / 55 / 19inch,235mm / 55 / 19inch,상시사륜 구동,자동1단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,320kW429.1hp (단순환산치),700Nm71.4kg.m (단순환산치),400km,77.4kWh,리튬 이온,,
223,2008 제네시스,V형 6기통 람다,,가솔린,"3,342cc",262hp,32.2kg.m,"복합 10km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"4,975mm / 1,890mm","1,480mm / 2,935mm","1,619mm / 1,635mm","1,715kg",225mm / 55 / 17inch,225mm / 55 / 17inch,앞엔진 후륜 구동,자동6단,멀티링크 코일스프링,멀티링크 코일스프링,V디스크,디스크,랙 앤 피니언,,,,,,,7.6초
224,2010 베르나,1.4 DOHC,,가솔린,"1,399cc",95hp,12.7kg.m,"복합 15.1~17km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",138~155g/km,"4,300mm / 1,695mm","1,470mm / 2,500mm","1,485mm / 1,475mm","1,073~1,095kg",175~185mm / 65~70 / 14inch,175~185mm / 65~70 / 14inch,앞엔진 전륜 구동,"수동5단, 자동4단",맥퍼슨 스트럿,토션빔 액슬,디스크,드럼,랙 앤 피니언,,,,,,,
225,2019 BMW M2,l6,"싱글터보, 트윈터보",가솔린,"2,979cc",370~410hp,47.4~56.1kg.m,"복합 9.4km/ℓ 도심 8.4km/ℓ, 고속 11.1km/ℓ",184g/km,"4,468mm / 1,854mm","1,410mm / 2,693mm","1,579mm / 1,601mm","1,590kg",245mm / 35 / 19inch,265mm / 35 / 19inch,앞엔진 후륜 구동,DCT7단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,250~280km/h,4.2~4.3초
226,2015 BMW X5 M,V8 직분사,트윈터보,가솔린,"4,395cc",575hp,76.5kg.m,"복합 6.9km/ℓ 도심 5.9km/ℓ, 고속 7.9km/ℓ",262g/km,"4,880mm / 1,985mm","1,754mm / 2,933mm","1,666mm / 1,667mm","2,350kg",285mm / 35 / 21inch,325mm / 30 / 21inch,상시사륜 구동,자동8단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,4.2초
227,2024 렉서스 NX 하이브리드,I4,자연흡기,가솔린,"2,487cc",189hp 합산 242hp,24.7kg.m,"복합 14km/ℓ 도심 14.3km/ℓ, 고속 13.6km/ℓ",116g/km,"4,660mm / 1,865mm","1,670mm / 2,690mm","1,605mm / 1,625mm","1,850kg",235mm / 50 / 20inch,235mm / 50 / 20inch,상시사륜 구동,CVT,맥퍼슨 스트럿,더블 위시본,V디스크,V디스크,랙 앤 피니언,,,,,,,
228,2009 포르테 쿱,1.6 감마 CVVT,,가솔린,"1,591cc",124hp,15.9kg.m,"복합 15~16.1km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",145~156g/km,"4,480mm / 1,765mm","1,400mm / 2,650mm","1,542mm / 1,546mm","1,154~1,179kg",205~215mm / 45~55 / 16~17inch,205~215mm / 45~55 / 16~17inch,앞엔진 전륜 구동,"수동5단, 자동4단",맥퍼슨 스트럿,CTBA,디스크,디스크,랙 앤 피니언,,,,,,,
229,2023 그랜저,I4,자연흡기,가솔린,"2,497cc",198hp,25.3kg.m,"복합 11.4~11.7km/ℓ 도심 9.8~10km/ℓ, 고속 14.2~14.5km/ℓ",143~148g/km,"5,035mm / 1,880mm","1,460mm / 2,895mm","1,624~1,628mm / 1,631~1,635mm","1,620~1,635kg",225~245mm / 45~55 / 18~19inch,225~245mm / 45~55 / 18~19inch,앞엔진 전륜 구동,자동8단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,,
230,2012 BMW 1M,I6 3.0 트윈터보,,가솔린,"2,979cc",340hp,45.9kg.m,"복합 10km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",234g/km,"4,380mm / 1,803mm","1,420mm / 2,660mm","1,541mm / 1,541mm","1,495kg",245mm / 35 / 19inch,265mm / 35 / 19inch,앞엔진 후륜 구동,수동6단,맥퍼슨 스트럿,5링크 코일스프링,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,4.9초
231,2019 모하비,V6,싱글터보,디젤,"2,959cc",260hp,57.1kg.m,"복합 9.6km/ℓ 도심 8.4km/ℓ, 고속 11.4km/ℓ",205g/km,"4,930mm / 1,915mm","1,810mm / 2,895mm","1,615mm / 1,625mm","2,240kg",265mm / 60 / 18inch,265mm / 60 / 18inch,상시사륜 구동,자동8단,더블 위시본,멀티링크,디스크,디스크,랙 앤 피니언,,,,,,,
232,2007 쏘렌토,"커먼레일, VGT",,디젤,"2,497cc",145~174hp,36~41kg.m,"복합 10.1~11.6km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"4,590mm / 1,885mm","1,725mm / 2,710mm","1,580mm / 1,580mm","2,045~2,105kg",245mm / 65~70 / 16~17inch,245mm / 65~70 / 16~17inch,사륜 구동,"수동5단, 자동5단",더블 위시본,5링크 코일스프링,V디스크,디스크,랙 앤 피니언,,,,,,171km/h,
233,2015 BMW 4시리즈 그란쿠페,"l4 직분사, I4 직분사 디젤, I4 직분사",싱글터보,디젤,"1,995cc",190hp,40.8kg.m,"복합 15.6~16.1km/ℓ 도심 14.1~14.4km/ℓ, 고속 17.9~18.9km/ℓ",117~122g/km,"4,638mm / 1,825mm","1,389~1,404mm / 2,810mm","1,544~1,545mm / 1,590~1,594mm","1,540~1,615kg",225mm / 45 / 18inch,225mm / 45 / 18inch,"앞엔진 후륜 구동, 상시사륜 구동",자동8단,"맥퍼슨 스트럿,맥퍼슨 스트럿",멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,230~231km/h,7.3~7.4초
234,2007 포터2,D4BH,,디젤,"2,476cc",94hp,22.5kg.m,"복합 10km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"5,120mm / 1,740mm","1,965mm / 2,640mm","1,485mm / 1,320mm","1,707kg",195mm / 70 / 15inch,155mm / 12 / 8inch,앞엔진 후륜 구동,수동5단,더블 위시본,리프 스프링,디스크,드럼,랙 앤 피니언,,,,,,,
235,2007 카렌스,LPI,,LPG,"1,998cc",136hp,18.9kg.m,"복합 8.1~9.5km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"4,545mm / 1,820mm","1,650mm / 2,700mm","1,575mm / 1,570mm","1,555~1,578kg",205~225mm / 50~65 / 15~17inch,205~225mm / 50~65 / 15~17inch,앞엔진 전륜 구동,"수동5단, 자동4단",맥퍼슨 스트럿,멀티링크 코일스프링,V디스크,디스크,랙 앤 피니언,,,,,,185km/h,
236,2024 BMW iX2,I4,싱글터보,가솔린,"1,998cc",204hp,30.6kg.m,"복합 10.8km/ℓ 도심 9.4km/ℓ, 고속 13.1km/ℓ",156g/km,"4,555mm / 1,830mm","1,590mm / 2,690mm","1,582mm / 1,583mm","1,720kg",245mm / 45 / 19inch,245mm / 45 / 19inch,상시사륜 구동,DCT7단,싱글 조인트 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,231km/h,7.4초
237,2014 카렌스,"I4 , I4 2.0",자연흡기,LPG,"1,999cc",154hp,19.8kg.m,"복합 9~9.5km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",140~150g/km,"4,525mm / 1,805mm","1,610mm / 2,750mm","1,563~1,573mm / 1,576~1,586mm","1,500~1,535kg",205~255mm / 45~55 / 16~18inch,205~255mm / 45~55 / 16~18inch,앞엔진 전륜 구동,"수동6단, 자동6단",맥퍼슨 스트럿,투션빔,디스크,디스크,랙 앤 피니언,,,,,,,
238,2025 BMW i4,,,전기,,,,"복합 4.5km/kWh 도심 4.5km/kWh, 고속 4.4km/kWh",,"4,785mm / 1,850mm","1,450mm / 2,855mm",,"2,170kg",245mm / 40 / 19inch,255mm / 40 / 19inch,뒤엔진 후륜 구동,자동1단,더블 조인트 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,250kW335.3hp (단순환산치),430Nm43.8kg.m (단순환산치),420km,84kWh,리튬 이온,190km/h,5.6초
239,2025 메르세데스-벤츠 EQS,,,전기,,,,"복합 4.1km/kWh 도심 4.2km/kWh, 고속 4km/kWh",,"5,220mm / 1,925mm","1,515mm / 3,210mm","1,662mm / 1,677mm","2,465kg",255mm / 45 / 20inch,255mm / 45 / 20inch,뒤엔진 후륜 구동,자동1단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,215kW288.3hp (단순환산치),564Nm57.5kg.m (단순환산치),464km,96.5kWh,리튬 이온,210km/h,6.7초
240,2007 BMW Z4,직렬6기통 DOHC,,가솔린,"2,996cc",265hp,32.1kg.m,"복합 10km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"4,091mm / 1,782mm","1,299mm / 2,495mm","1,473mm / 1,523mm","1,530kg",225mm / 40 / 18inch,255mm / 35 / 18inch,앞엔진 후륜 구동,자동6단,0,0,V디스크,디스크,랙 앤 피니언,,,,,,250km/h,6초
241,2021 BMW M8 그란쿠페,V8,트윈터보,가솔린,"4,395cc",625hp,76.5kg.m,"복합 7.3km/ℓ 도심 6.4km/ℓ, 고속 8.9km/ℓ",237g/km,"5,095mm / 1,935mm","1,440mm / 3,023mm","1,626mm / 1,660mm","2,020kg",275mm / 35 / 20inch,285mm / 35 / 20inch,상시사륜 구동,토크컨버터8단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,3.2초
242,2010 로체,2.0 CVVT,,가솔린,"1,998cc",163hp,20.1kg.m,"복합 11.5~12.8km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",183~204g/km,"4,810mm / 1,820mm","1,480mm / 2,720mm","1,560mm / 1,550mm","1,400~1,415kg",205~215mm / 50~65 / 15~17inch,205~215mm / 50~65 / 15~17inch,앞엔진 전륜 구동,"수동5단, 자동4단",맥퍼슨 스트럿,멀티링크 코일스프링,V디스크,디스크,랙 앤 피니언,,,,,,,
243,2011 렉서스 IS F,5.0 V8 32밸브,,가솔린,"4,969cc",423hp,51.5kg.m,"복합 8.4km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",279g/km,"4,660mm / 1,815mm","1,415mm / 2,730mm","1,560mm / 1,520mm","1,740kg",225mm / 40 / 19inch,255mm / 35 / 19inch,앞엔진 후륜 구동,자동8단,더블 위시본,멀티링크 코일스프링,V디스크,V디스크,랙 앤 피니언,,,,,,,4.8초
244,2011 그랜저,I4,자연흡기,가솔린,"2,359cc",201hp,25.5kg.m,"복합 12.8km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",183g/km,"4,910mm / 1,860mm","1,470mm / 2,845mm","1,606mm / 1,607mm","1,525kg",225mm / 55 / 17inch,225mm / 55 / 17inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티링크 코일스프링,V디스크,디스크,랙 앤 피니언,,,,,,,
245,2020 렉서스 ES 하이브리드,I4,자연흡기,가솔린,"2,487cc",178hp 합산 218hp,22.5kg.m,"복합 17km/ℓ 도심 17.1km/ℓ, 고속 17km/ℓ",93g/km,"4,975mm / 1,865mm","1,445mm / 2,870mm","1,590mm / 1,600mm","1,715kg",215~235mm / 45~55 / 17~18inch,215~235mm / 45~55 / 17~18inch,앞엔진 전륜 구동,CVT,맥퍼슨 스트럿,더블 위시본,V디스크,V디스크,랙 앤 피니언,,,,,,180km/h,8.1초
246,2005 라비타,직렬4기통 DOHC,,가솔린,"1,599cc",103hp,14.1kg.m,"복합 13.6km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"4,050mm / 1,740mm","1,635~1,685mm / 2,600mm","1,485mm / 1,485mm","1,269kg",185~195mm / 55~65 / 14~15inch,185~195mm / 55~65 / 14~15inch,앞엔진 전륜 구동,수동,맥퍼슨 스트럿,듀얼링크 코일스프링,디스크,드럼,랙 앤 피니언,,,,,,,
247,2013 싼타페,I4 2.0,싱글터보,디젤,"1,995cc",184hp,41kg.m,"복합 13.8km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",137g/km,"4,690mm / 1,880mm","1,680~1,690mm / 2,700mm","1,628mm / 1,639mm","1,758kg",235mm / 55~60 / 18~19inch,235mm / 55~60 / 18~19inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티링크,디스크,디스크,랙 앤 피니언,,,,,,,
248,1991 엑셀 해치백,1.5 SOHC,,가솔린,"1,500cc",85~95hp,12~13.6kg.m,"복합 13.8~15.8km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"3,985mm / 1,595mm","1,380mm / 2,380mm","1,375mm / 1,340mm",,,,앞엔진 전륜 구동,"수동4단, 수동5단, 자동4단, 자동5단",,,0,0,0,,,,,,0~180km/h,
249,2021 메르세데스-AMG GLC,I6,트윈터보,가솔린,"2,999cc",435hp,53kg.m,"복합 8.3km/ℓ 도심 7.7km/ℓ, 고속 9km/ℓ",220g/km,"4,935mm / 2,015mm","1,780mm / 2,995mm","1,693mm / 1,720mm","2,530kg",275mm / 45 / 21inch,315mm / 40 / 21inch,상시사륜 구동,자동9단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,5.3초
250,2020 렉서스 LS,V6,트윈터보,가솔린,"3,445cc",422hp,61.2kg.m,"복합 8.8km/ℓ 도심 7.3km/ℓ, 고속 11.9km/ℓ",198g/km,"5,235mm / 1,900mm","1,460mm / 3,125mm","1,630mm / 1,635mm","2,170kg",245mm / 50 / 19inch,245mm / 50 / 19inch,앞엔진 후륜 구동,자동10단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,
251,2015 메르세데스-벤츠 CLS,I4,싱글터보,디젤,"2,143cc",204hp,51kg.m,"복합 14.3km/ℓ 도심 12.8km/ℓ, 고속 16.8km/ℓ",138g/km,"4,950mm / 1,880mm","1,430mm / 2,875mm",,,255mm / 40 / 18inch,285mm / 35 / 18inch,상시사륜 구동,자동7단,멀티링크,멀티링크,v디스크,디스크,랙 앤 피니언,,,,,,236km/h,7.9초
252,2009 카니발,2.7 LPI,,LPG,"2,656cc",161hp,25kg.m,"복합 6.8km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",259g/km,"4,810mm / 1,985mm","1,760mm / 2,890mm","1,685mm / 1,685mm","2,110kg",235mm / 60 / 17inch,235mm / 60 / 17inch,앞엔진 전륜 구동,자동4단,맥퍼슨 스트럿,멀티링크 코일스프링,V디스크,디스크,랙 앤 피니언,,,,,,,
