,종합점수,주행,가격,거주성,품질,디자인,연비_y,복합연비,연료,연도,차급,브랜드,CO₂ 배출량
336,8.7,9.6,7.7,8.0,8.7,9.9,8.1,9.0,가솔린,2022,경차,메르세데스-벤츠,194g/km
337,9.3,9.9,9.1,8.1,9.6,9.8,9.3,4.6,전기,2023,대형/프리미엄,BMW,
338,9.1,9.9,8.9,8.1,9.3,9.7,8.5,9.1,가솔린,2019,경차,BMW,184~190g/km
339,9.1,9.8,8.4,9.1,9.2,9.5,8.7,10.5,디젤,2017,경차,BMW,185g/km
340,8.6,9.3,8.4,8.2,9.6,9.3,7.0,10.2,가솔린,2017,경차,렉서스,170g/km
344,8.5,9.4,9.0,6.2,8.8,9.6,8.2,9.5,가솔린,2018,경차,메르세데스-벤츠,184g/km
345,8.6,8.9,8.9,8.7,8.7,8.5,7.8,15.8,디젤,2021,경차,기아,114~118g/km
347,9.2,9.3,8.9,8.9,9.6,9.6,9.0,12.1,가솔린,2024,경차,메르세데스-벤츠,139g/km
351,8.5,9.6,7.7,7.9,8.7,9.5,7.7,9.8,가솔린,2023,경차,BMW,174g/km
353,8.2,9.8,8.1,8.8,8.7,9.8,4.3,7.7,가솔린,2024,경차,BMW,224g/km
355,8.7,9.8,7.4,8.4,9.2,10.0,7.2,6.3,가솔린,2023,경차,메르세데스-벤츠,279g/km
356,9.2,9.5,9.1,9.3,9.0,9.7,8.6,9.5,가솔린,2021,경차,메르세데스-벤츠,188g/km
358,8.9,9.4,8.7,9.6,9.2,9.5,7.1,12.0,디젤,2024,경차,현대,154~159g/km
359,9.1,9.8,7.2,9.6,9.2,9.7,9.4,4.2,전기,2024,대형/프리미엄,기아,
360,8.8,8.9,9.1,8.4,8.6,9.1,8.7,13.1,가솔린,2017,경차,현대,121g/km
363,8.7,9.2,8.4,8.2,8.9,9.4,8.1,5.8,가솔린,2016,경차,메르세데스-벤츠,306g/km
364,8.5,9.2,8.2,9.2,9.0,9.4,6.0,8.3,가솔린,2017,경차,제네시스,186~205g/km
366,8.9,9.3,8.3,8.3,9.1,9.7,8.6,11.4,디젤,2017,경차,BMW,
367,9.2,10.0,7.7,10.0,10.0,10.0,7.3,10.9,가솔린,2021,경차,렉서스,155g/km
369,8.9,9.8,8.5,8.8,9.6,9.8,6.5,5.4,,2017,대형/프리미엄,BMW,
370,8.4,8.8,8.5,8.9,8.4,8.9,7.2,10.3,디젤,2017,경차,기아,196~197g/km
371,8.8,9.5,8.6,9.4,9.3,9.4,6.7,8.5,가솔린,2017,경차,제네시스,203g/km
372,9.3,9.7,8.2,8.6,9.8,9.7,9.7,16.7,가솔린,2019,경차,렉서스,95g/km
375,9.2,9.7,8.9,8.3,9.3,9.6,9.2,15.8,디젤,2016,경차,BMW,124g/km
376,8.4,8.8,8.3,9.0,8.5,9.0,7.1,10.3,디젤,2019,경차,기아,189g/km
377,9.2,9.4,8.5,9.5,9.5,9.2,8.9,12.8,가솔린,2021,경차,렉서스,129g/km
378,9.2,9.6,9.5,8.5,10.0,9.5,7.9,12.7,가솔린,2016,경차,렉서스,132g/km
379,8.8,8.9,8.9,8.5,8.5,9.1,9.0,14.1,가솔린,2021,경차,기아,108~117g/km
380,8.6,8.7,8.7,8.9,8.5,9.1,7.7,11.6,가솔린,2019,경차,기아,136~144g/km
381,9.0,9.1,9.2,8.7,8.6,9.4,9.0,13.3,가솔린,2019,경차,현대,121~125g/km
383,9.2,9.2,8.3,8.8,9.6,9.4,9.7,17.0,가솔린,2020,경차,렉서스,93g/km
384,8.9,10.0,7.8,10.0,10.0,10.0,5.8,6.7,가솔린,2019,경차,BMW,262g/km
385,8.7,8.4,7.7,8.7,8.5,9.7,9.0,15.1,가솔린,2023,경차,기아,108g/km
388,9.1,9.9,8.9,8.1,9.3,9.7,8.5,9.6,가솔린,2015,경차,BMW,185g/km
389,9.1,9.1,8.5,9.1,9.7,9.4,8.8,9.3,가솔린,2020,경차,렉서스,186g/km
390,8.8,9.4,8.5,7.5,9.0,9.7,8.4,11.1,가솔린,2019,경차,BMW,154g/km
394,8.0,8.5,8.2,8.2,8.0,8.2,6.9,9.8,디젤,2016,경차,현대,177~207g/km
400,8.8,9.1,8.7,9.1,8.8,9.1,8.1,12.9,디젤,2016,경차,기아,146~154g/km
406,9.0,9.5,8.8,8.6,9.1,9.5,8.7,9.8,가솔린,2020,경차,BMW,175g/km
407,9.2,10.0,7.7,10.0,10.0,10.0,7.3,7.7,가솔린,2024,경차,렉서스,226g/km
409,9.1,9.1,8.9,9.3,8.9,9.3,9.1,17.7,가솔린,2015,경차,현대,91~94g/km
413,8.8,9.4,8.6,8.6,9.8,8.9,7.7,9.9,가솔린,2014,경차,렉서스,180g/km
417,9.1,9.5,8.5,9.4,9.2,8.7,9.3,14.3,가솔린,2023,경차,현대,106~114g/km
420,8.9,9.5,9.2,9.6,9.4,8.9,6.8,9.5,가솔린,2015,경차,현대,188g/km
